nreg,passed,n_activities,n_clicks,code_module
0,0,0,0,AAA
383,0.725848564,211,648494,AAA
0,0,0,0,AAA
365,0.693150685,202,598158,AAA
1767,0.454442558,315,1347911,BBB
2237,0.479213232,321,1378656,BBB
1613,0.450712957,311,833865,BBB
2292,0.502617801,207,1673744,BBB
0,0,0,0,CCC
0,0,0,0,CCC
1936,0.342458678,196,1889177,CCC
2498,0.40632506,223,2792972,CCC
1303,0.391404451,428,1387467,DDD
1938,0.427760578,462,1757214,DDD
1228,0.390065147,453,947657,DDD
1803,0.439267887,365,1437751,DDD
0,0,0,0,EEE
1052,0.578897338,112,1535953,EEE
694,0.514409222,109,832038,EEE
1188,0.575757576,115,1616236,EEE
1614,0.484510533,508,4220055,FFF
2283,0.479632063,529,5116439,FFF
1500,0.436,478,2975619,FFF
2365,0.47230444,452,5281809,FFF
0,0,0,0,GGG
952,0.621848739,137,509091,GGG
833,0.573829532,124,425165,GGG
749,0.592790387,106,399628,GGG
